date,time,hour,time_of_day,payment_category,card,money,coffee_name,coffee_category,day_of_week,is_weekend
01-03-2024,10:15:51,10,Morning,Card,ANON-0000-0000-0001,38.7,Latte,Milk-based,Friday,FALSE
01-03-2024,12:19:23,12,Afternoon,Card,ANON-0000-0000-0002,38.7,Hot Chocolate,Chocolate-based,Friday,FALSE
01-03-2024,12:20:18,12,Afternoon,Card,ANON-0000-0000-0002,38.7,Hot Chocolate,Chocolate-based,Friday,FALSE
01-03-2024,13:46:33,13,Afternoon,Card,ANON-0000-0000-0003,28.9,Americano,Espresso-based,Friday,FALSE
01-03-2024,13:48:15,13,Afternoon,Card,ANON-0000-0000-0004,38.7,Latte,Milk-based,Friday,FALSE
01-03-2024,15:39:48,15,Afternoon,Card,ANON-0000-0000-0005,33.8,Americano with Milk,Milk-based,Friday,FALSE
01-03-2024,16:19:03,16,Afternoon,Card,ANON-0000-0000-0006,38.7,Hot Chocolate,Chocolate-based,Friday,FALSE
01-03-2024,18:39:04,18,Evening,Card,ANON-0000-0000-0007,33.8,Americano with Milk,Milk-based,Friday,FALSE
01-03-2024,19:22:02,19,Evening,Card,ANON-0000-0000-0008,38.7,Cocoa,Chocolate-based,Friday,FALSE
01-03-2024,19:23:16,19,Evening,Card,ANON-0000-0000-0008,33.8,Americano with Milk,Milk-based,Friday,FALSE
01-03-2024,19:29:17,19,Evening,Card,ANON-0000-0000-0009,33.8,Americano with Milk,Milk-based,Friday,FALSE
02-03-2024,10:22:07,10,Morning,Card,ANON-0000-0000-0010,28.9,Americano,Espresso-based,Saturday,TRUE
02-03-2024,10:30:36,10,Morning,Cash,Cash_Payment,40,Latte,Milk-based,Saturday,TRUE
02-03-2024,10:41:41,10,Morning,Card,ANON-0000-0000-0011,33.8,Americano with Milk,Milk-based,Saturday,TRUE
02-03-2024,11:59:45,11,Morning,Card,ANON-0000-0000-0012,33.8,Americano with Milk,Milk-based,Saturday,TRUE
02-03-2024,14:38:36,14,Afternoon,Card,ANON-0000-0000-0013,28.9,Americano,Espresso-based,Saturday,TRUE
02-03-2024,16:37:24,16,Afternoon,Card,ANON-0000-0000-0014,33.8,Americano with Milk,Milk-based,Saturday,TRUE
02-03-2024,17:34:55,17,Evening,Card,ANON-0000-0000-0004,28.9,Americano,Espresso-based,Saturday,TRUE
03-03-2024,10:10:44,10,Morning,Cash,Cash_Payment,40,Latte,Milk-based,Sunday,TRUE
03-03-2024,10:27:19,10,Morning,Card,ANON-0000-0000-0015,38.7,Latte,Milk-based,Sunday,TRUE
03-03-2024,11:33:56,11,Morning,Card,ANON-0000-0000-0016,28.9,Cortado,Milk-based,Sunday,TRUE
03-03-2024,12:26:56,12,Afternoon,Card,ANON-0000-0000-0012,28.9,Americano,Espresso-based,Sunday,TRUE
03-03-2024,13:09:36,13,Afternoon,Card,ANON-0000-0000-0017,38.7,Hot Chocolate,Chocolate-based,Sunday,TRUE
03-03-2024,17:06:40,17,Evening,Card,ANON-0000-0000-0018,38.7,Cocoa,Chocolate-based,Sunday,TRUE
03-03-2024,17:08:46,17,Evening,Card,ANON-0000-0000-0019,28.9,Cortado,Milk-based,Sunday,TRUE
03-03-2024,18:03:23,18,Evening,Card,ANON-0000-0000-0020,33.8,Americano with Milk,Milk-based,Sunday,TRUE
03-03-2024,18:04:28,18,Evening,Card,ANON-0000-0000-0020,33.8,Americano with Milk,Milk-based,Sunday,TRUE
03-03-2024,18:08:05,18,Evening,Card,ANON-0000-0000-0020,38.7,Hot Chocolate,Chocolate-based,Sunday,TRUE
04-03-2024,10:03:52,10,Morning,Card,ANON-0000-0000-0001,38.7,Latte,Milk-based,Monday,FALSE
04-03-2024,10:54:51,10,Morning,Card,ANON-0000-0000-0021,38.7,Latte,Milk-based,Monday,FALSE
04-03-2024,11:05:16,11,Morning,Card,ANON-0000-0000-0012,33.8,Americano with Milk,Milk-based,Monday,FALSE
04-03-2024,14:04:38,14,Afternoon,Card,ANON-0000-0000-0022,24,Espresso,Espresso-based,Monday,FALSE
05-03-2024,09:59:53,9,Morning,Card,ANON-0000-0000-0001,38.7,Latte,Milk-based,Tuesday,FALSE
05-03-2024,14:34:56,14,Afternoon,Card,ANON-0000-0000-0023,38.7,Latte,Milk-based,Tuesday,FALSE
05-03-2024,17:34:06,17,Evening,Card,ANON-0000-0000-0024,38.7,Latte,Milk-based,Tuesday,FALSE
05-03-2024,17:35:25,17,Evening,Card,ANON-0000-0000-0025,38.7,Hot Chocolate,Chocolate-based,Tuesday,FALSE
05-03-2024,17:36:29,17,Evening,Card,ANON-0000-0000-0026,38.7,Cocoa,Chocolate-based,Tuesday,FALSE
05-03-2024,17:37:14,17,Evening,Card,ANON-0000-0000-0027,38.7,Hot Chocolate,Chocolate-based,Tuesday,FALSE
05-03-2024,17:38:09,17,Evening,Card,ANON-0000-0000-0009,38.7,Hot Chocolate,Chocolate-based,Tuesday,FALSE
05-03-2024,17:56:16,17,Evening,Card,ANON-0000-0000-0028,28.9,Cortado,Milk-based,Tuesday,FALSE
05-03-2024,18:01:31,18,Evening,Card,ANON-0000-0000-0028,38.7,Hot Chocolate,Chocolate-based,Tuesday,FALSE
06-03-2024,12:30:27,12,Afternoon,Cash,Cash_Payment,35,Americano with Milk,Milk-based,Wednesday,FALSE
06-03-2024,13:24:08,13,Afternoon,Card,ANON-0000-0000-0012,28.9,Americano,Espresso-based,Wednesday,FALSE
06-03-2024,13:25:14,13,Afternoon,Card,ANON-0000-0000-0012,28.9,Cortado,Milk-based,Wednesday,FALSE
06-03-2024,14:52:02,14,Afternoon,Card,ANON-0000-0000-0029,38.7,Cappuccino,Milk-based,Wednesday,FALSE
06-03-2024,14:53:18,14,Afternoon,Card,ANON-0000-0000-0029,38.7,Cappuccino,Milk-based,Wednesday,FALSE
07-03-2024,10:08:59,10,Morning,Cash,Cash_Payment,40,Latte,Milk-based,Thursday,FALSE
07-03-2024,10:18:41,10,Morning,Card,ANON-0000-0000-0030,38.7,Hot Chocolate,Chocolate-based,Thursday,FALSE
07-03-2024,11:03:59,11,Morning,Card,ANON-0000-0000-0031,38.7,Latte,Milk-based,Thursday,FALSE
07-03-2024,11:25:44,11,Morning,Cash,Cash_Payment,40,Latte,Milk-based,Thursday,FALSE
07-03-2024,15:40:23,15,Afternoon,Card,ANON-0000-0000-0032,28.9,Americano,Espresso-based,Thursday,FALSE
07-03-2024,15:41:29,15,Afternoon,Card,ANON-0000-0000-0033,33.8,Americano with Milk,Milk-based,Thursday,FALSE
08-03-2024,10:34:41,10,Morning,Card,ANON-0000-0000-0012,28.9,Cortado,Milk-based,Friday,FALSE
08-03-2024,12:22:29,12,Afternoon,Card,ANON-0000-0000-0034,38.7,Cappuccino,Milk-based,Friday,FALSE
08-03-2024,13:53:02,13,Afternoon,Card,ANON-0000-0000-0035,28.9,Americano,Espresso-based,Friday,FALSE
08-03-2024,14:44:13,14,Afternoon,Card,ANON-0000-0000-0012,28.9,Americano,Espresso-based,Friday,FALSE
08-03-2024,14:45:11,14,Afternoon,Card,ANON-0000-0000-0033,28.9,Americano,Espresso-based,Friday,FALSE
08-03-2024,14:46:11,14,Afternoon,Card,ANON-0000-0000-0012,33.8,Americano with Milk,Milk-based,Friday,FALSE
08-03-2024,18:57:51,18,Evening,Card,ANON-0000-0000-0036,38.7,Latte,Milk-based,Friday,FALSE
08-03-2024,18:59:25,18,Evening,Card,ANON-0000-0000-0037,38.7,Latte,Milk-based,Friday,FALSE
09-03-2024,11:49:37,11,Morning,Cash,Cash_Payment,40,Hot Chocolate,Chocolate-based,Saturday,TRUE
09-03-2024,12:05:16,12,Afternoon,Card,ANON-0000-0000-0038,24,Espresso,Espresso-based,Saturday,TRUE
09-03-2024,12:07:38,12,Afternoon,Card,ANON-0000-0000-0039,28.9,Americano,Espresso-based,Saturday,TRUE
09-03-2024,12:09:48,12,Afternoon,Card,ANON-0000-0000-0012,38.7,Cappuccino,Milk-based,Saturday,TRUE
09-03-2024,12:13:04,12,Afternoon,Card,ANON-0000-0000-0040,28.9,Americano,Espresso-based,Saturday,TRUE
09-03-2024,12:14:26,12,Afternoon,Card,ANON-0000-0000-0040,28.9,Americano,Espresso-based,Saturday,TRUE
09-03-2024,13:09:22,13,Afternoon,Card,ANON-0000-0000-0041,38.7,Latte,Milk-based,Saturday,TRUE
09-03-2024,13:41:06,13,Afternoon,Card,ANON-0000-0000-0042,33.8,Americano with Milk,Milk-based,Saturday,TRUE
09-03-2024,13:53:10,13,Afternoon,Card,ANON-0000-0000-0043,28.9,Cortado,Milk-based,Saturday,TRUE
09-03-2024,13:54:37,13,Afternoon,Card,ANON-0000-0000-0043,38.7,Cappuccino,Milk-based,Saturday,TRUE
09-03-2024,14:08:02,14,Afternoon,Card,ANON-0000-0000-0009,33.8,Americano with Milk,Milk-based,Saturday,TRUE
09-03-2024,14:26:53,14,Afternoon,Card,ANON-0000-0000-0044,38.7,Hot Chocolate,Chocolate-based,Saturday,TRUE
09-03-2024,19:17:58,19,Evening,Card,ANON-0000-0000-0009,38.7,Cappuccino,Milk-based,Saturday,TRUE
09-03-2024,19:19:10,19,Evening,Card,ANON-0000-0000-0009,38.7,Hot Chocolate,Chocolate-based,Saturday,TRUE
10-03-2024,07:44:19,7,Morning,Cash,Cash_Payment,30,Americano,Espresso-based,Sunday,TRUE
10-03-2024,07:45:29,7,Morning,Cash,Cash_Payment,35,Americano with Milk,Milk-based,Sunday,TRUE
10-03-2024,10:06:03,10,Morning,Cash,Cash_Payment,40,Latte,Milk-based,Sunday,TRUE
10-03-2024,11:19:21,11,Morning,Card,ANON-0000-0000-0045,24,Espresso,Espresso-based,Sunday,TRUE
10-03-2024,17:51:03,17,Evening,Cash,Cash_Payment,35,Americano with Milk,Milk-based,Sunday,TRUE
10-03-2024,19:34:00,19,Evening,Card,ANON-0000-0000-0046,38.7,Latte,Milk-based,Sunday,TRUE
